event_number,wheel_width_sample,sensor_sampling_rate,bad_events,bad_events_dirtyAX,bad_events_raining,good_events,min_widths_wheel_Ax0,max_widths_wheel_Ax0,min_widths_wheel_Ax1,max_widths_wheel_Ax1,widths_wheel,event_type,sensors_durability,Ax0_situation_dict,Ax1_situation_dict,output_layer_situation_dict,event_tag,bridge_name,date_time,gross_vehicle_weight,confident,velocity,lane,vehicle_type,axle_weight,axle_spacing,overweight,overweight_amount,esal,lpr_number,axle_count,gvw_strain_are,direction,type_weight_limit
bad_events_raining|20240912_025231_1,44.093188485104015,872.6776887676837,,,71.61458333333333,19.53125,,,,,[],bad_events_raining,75.14977445269614,"{'Good_events': 14.56, 'Raining_events': 2.21}","{'Raining_events': 100.0, 'Dirty_events': 0.0}","{'Durability_high': 14.56, 'Durability_mid': 2.21, 'Durability_low': 0.0}",PONGPHET_20240912_025231_1,PONGPHET,2024-09-12 02:52:31,41.89,True,57,1,7,"[7.8, 7.6, 7.6, 9.4, 9.4]","[3.61, 1.49, 3.75, 1.43]",False,0.0,4.01,52-9061,5,34.9,to Khaerai,45.0
bad_events_raining|20240912_025352_1,38.86506503604328,877.162926160699,,,1458.3333333333333,16.276041666666668,,,,,[],bad_events_raining,76.88894535607598,"{'Good_events': 75.88, 'Raining_events': 0.49}","{'Raining_events': 100.0, 'Dirty_events': 2.42}","{'Durability_high': 75.88, 'Durability_mid': 2.42, 'Durability_low': 0.49}",PONGPHET_20240912_025352_1,PONGPHET,2024-09-12 02:53:52,43.65,True,65,1,7,"[8.3, 9.1, 9.1, 8.6, 8.6]","[3.86, 1.67, 3.4, 1.42]",False,0.0,4.54,,5,36.3,to Khaerai,45.0
bad_events_raining|20240912_025911_1,39.309021113243766,873.533802516528,,,46.38671875,16.276041666666668,,,,,[],bad_events_raining,42.000000000000014,{'Raining_events': 8.21},"{'Raining_events': 99.05, 'Dirty_events': 33.52}","{'Durability_low': 8.21, 'Durability_mid': 8.21}",PONGPHET_20240912_025911_1,PONGPHET,2024-09-12 02:59:11,46.15,True,64,1,9,"[6.8, 7.9, 7.9, 7.9, 7.9, 7.9]","[3.9, 1.53, 8.06, 1.59, 1.44]",False,0.0,2.95,69-3775,6,32.9,to Khaerai,50.5
bad_events_raining|20240912_030452_2,44.781341107871725,870.748299319728,,,51.26953125,13.020833333333334,,,,,[],bad_events_raining,43.541291870224235,{'Raining_events': 46.39},"{'Raining_events': 98.87, 'Dirty_events': 35.31}","{'Durability_mid': 46.39, 'Durability_low': 35.31}",PONGPHET_20240912_030452_2,PONGPHET,2024-09-12 03:04:52,66.14,True,56,2,14,"[8.7, 12.9, 12.9, 11.3, 10.2, 10.2]","[4.62, 1.46, 5.3, 3.67, 1.53]",True,15.64,15.86,83-4994,6,29.5,to Khaerai,50.5
bad_events_raining|20240912_030909_2,38.31394329143526,878.0278670953912,,,17.578125,12.20703125,,,,,[],bad_events_raining,69.15419955588452,{'Good_events': 100.0},"{'Raining_events': 97.31, 'Dirty_events': 47.7}","{'Durability_high': 97.31, 'Durability_mid': 47.7}",PONGPHET_20240912_030909_2,PONGPHET,2024-09-12 03:09:09,40.13,True,66,2,9,"[6.5, 7.7, 7.7, 6.1, 6.1, 6.1]","[3.72, 1.52, 8.17, 1.49, 1.49]",False,0.0,1.88,73-7490,6,18.2,to Khaerai,50.5
bad_events_raining|20240912_030924_1,45.088062622309195,876.7123287671233,,,1250.0,12.20703125,,,,,[],bad_events_raining,66.79989818648099,{'Good_events': 100.0},"{'Raining_events': 91.28, 'Dirty_events': 74.68}","{'Durability_high': 91.28, 'Durability_mid': 74.68}",PONGPHET_20240912_030924_1,PONGPHET,2024-09-12 03:09:24,37.57,True,56,1,7,"[4.6, 7.3, 7.3, 9.2, 9.2]","[3.78, 1.5, 7.31, 1.37]",False,0.0,2.93,82-8797,5,28.7,to Khaerai,45.0
bad_events_raining|20240912_031037_2,,881.9982773471145,,,15.625,16.276041666666668,36.85130437555813,176.43782487005183,35.854364612554036,35.92710604281956,"[36.85130437555813, 36.91304819800257, 176.43782487005183, 35.92710604281956, 35.854364612554036]",bad_events_raining,47.77828060251263,"{'Raining_events': 3.54, 'Good_events': 1.41}","{'Dirty_events': 100.0, 'Raining_events': 12.88}","{'Durability_low': 3.54, 'Durability_mid': 3.54, 'Durability_high': 1.41}",,,,,,,,,,,,,,,,,,
bad_events_raining|20240912_031049_4,44.342601447052665,877.6139869729175,,,1507.8125,16.276041666666668,,,,,[],bad_events_raining,97.81676350987776,"{'Good_events': 95.09, 'Raining_events': 0.1}","{'Good_events': 75.88, 'Raining_events': 0.49}","{'Durability_veryhigh': 75.88, 'Durability_high': 0.49, 'Durability_mid': 0.1}",PONGPHET_20240912_031049_4,PONGPHET,2024-09-12 03:10:49,45.36,True,57,1,9,"[8.3, 7.8, 7.8, 7.1, 7.1, 7.1]","[3.41, 1.59, 8.08, 1.52, 1.4]",False,0.0,3.07,74-1012,6,23.8,to Vibhavadi,50.5
bad_events_raining|20240912_031158_4,49.18561016694741,870.9951800396938,,,15.625,9.765625,,,,,[],bad_events_raining,98.1756984977194,"{'Good_events': 84.14, 'Raining_events': 0.32}",{'Good_events': 100.0},"{'Durability_veryhigh': 84.14, 'Durability_high': 0.32}",PONGPHET_20240912_031158_4,PONGPHET,2024-09-12 03:11:58,31.2,True,51,1,4,"[3.5, 3.5, 12.1, 12.1]","[2.24, 3.52, 1.66]",True,1.2,6.03,91-0810,4,20.4,to Vibhavadi,30.0
bad_events_raining|20240912_031609_1,39.84799197397622,871.6748244307299,,,1552.734375,9.765625,,,,,[],bad_events_raining,41.99999999999995,{'Raining_events': 28.43},"{'Raining_events': 90.06, 'Dirty_events': 77.94}","{'Durability_low': 28.43, 'Durability_mid': 28.43}",PONGPHET_20240912_031609_1,PONGPHET,2024-09-12 03:16:09,50.6,True,63,1,9,"[7.3, 8.1, 8.1, 9.0, 9.0, 9.0]","[3.8, 1.37, 8.16, 1.45, 1.55]",True,0.1,4.25,65-9451,6,36.4,to Khaerai,50.5
